text,label,prediction
đứa con gái nào mà đề nghị là biết bị ma nhập mà né nha mấy cha,3,disgust
"đéo phải ai cũng được đặt tên cho 1 "" thuật bán hàng "" trong kinh doanh đâu . chấm hết",1,anger
per mấy con đĩ lồn cục súc ... dòng thứ quỷ yêu đel làm gì cũng rượt cho sấp mặt luôn,0,anger
hình như bồ tao cũng tập gym 😶😶,4,disgust
"lúc trước chạy xe đạp đi ngang qua đàn vịt có mấy con ngỗng lẫn trong đó . thế là dume tụi nó rượt tao vừa chạy vừa la cái thứ âm thanh nghe "" ứ ứ "" "" hiếp em đi "" làm tao sợ tụt lol :))",3,Fear
"tên của tao nghe rất bình thương , không có gì đặc sắc nên nhiều khi nghĩ cùng buồn tẹo .",5,sadness
thích :)))) đi làm vui hay không là có đồng nghiệp tốt đừng chơi xấu mình là được :)),2,enjoyment
per xem đi mày sẽ sướng thi nhìn con nhện bị giết 😂,2,disgust
chạm đáy nỗi đau 😞,5,sadness
thế ông bác sĩ đó bây giờ còn sống không 🙂,4,Others
😞 đó sẽ là những kỉ niệm thật đẹp,5,sadness
"per chưa bị rượt mà đọc bình luận thấy sợ quá , chắc tao sợ chó không là gì với con này :)",3,fear
"bắt cóc như chơi đó mậy , be careful",3,fear
đảng ta bao dung thật < 3,2,enjoyment
rất tiếc em vẫn chưa gặp được anh :((((,5,sadness
đái mẹ ra quần ??,3,disgust
có ai không nghe thấy nói gì mà toàn xem hình người con gái ấy không 😂,4,enjoyment
đẹp trai ghê :)),2,enjoyment
dụ đấy ... đừng tin,1,disgust
tán cây hình trái tim thì phải,4,enjoyment
làm việc vất vả mới được miếng ăn mà chúng nó khốn nạn thật,0,sadness
dể thương quá ah,2,enjoyment
tốt nhất không miễn phí cho những thể loại người như vậy . nhắc nhỉ thẳng thắn,0,anger
gần thôi :))) giờ nhìn lại đề thi và không hiểu sao mình ra trường được :))),2,enjoyment
những đứa như vậy quá hèn,1,disgust
hồi xưa làm fanpage được gạ kèo 7 triệu nhưng nhất quyết không bán . cảm thấy quyết định đúng đắn nhất trong đời,2,enjoyment
per lúc xưa toàn nấu bằng bếp nay,4,others
per luôn yêu đời và luôn yêu công việc em nhé,2,enjoyment
"ngày trước thì đòi dấn thân vào showbiz , giờ lại đòi lấy chồng đại gia , đâu ra lắm thế",1,disgust
"phim này coi lâu lắm ùi , mà mỗi năm phải coi lại 1 - 2 lần mới đủ , thực sự cực kì hay và sâu sắc , nhạc phim hay mà diễn cũng rất nhập nữa , amir khan đỉnh nhất ^.^/",2,enjoyment
"đần mặt ra nhìn nó y như con ngu , còn cười theo nó nữa , xong bị nó phát hiện .",2,disgust
bà tôi giờ mất mấy năm rồi giờ lớn lên rồi mà chả tặng được bà món quà nào cả 😭😭😭,5,sadness
hãm lồn là khi mình đéo ra gì còn đi nói người khác 🤭,1,disgust
"ý thức như lol vậy ai cũng như mày thì máy bay quá tải dẫn tới chết chùm , ý thức như lol vậy mà còn đăng lên",1,disgust
ai chửi admin ngu chứng tỏ eq thấp tệ,1,anger
nấu mì 2 tôm là vô địch,2,enjoyment
mấy anh thiệt là nóng bỏng !!,2,enjoyment
qua chạy xe nẹt nẹt bốc đầu bố ai dám dô,3,anger
chia se cho ai thích thể hiện nè,4,enjoyment
em mày cách mày bao nhiêu tuổi ?,4,disgust
thật chứ thấy bạn nam kia cứu con chó không cần nhìn mặt cũng biết đẹp trai rồi 😆,2,enjoyment
đó là những câu chuyện buồn mà :((,5,sadness
"diễn còn cứng quá à , kiểu biết rồi mà còn giả bộ bất ngờ :))",2,disgust
làm người khác thỏa mãn bằng mùi hương của chính bản thân,2,enjoyment
dkm xấu mặt những thằng tập gym vkl tao đéo hiểu sao thằng này nó lại thích đi đường tiểu ngạch là sao,1,anger
"chỉ cần cho em nó 1 điểm tựa , em nó sẽ không ngán cả thế giới :))",2,enjoyment
per một lần thôi không có lần thứ hai đâu 😊,2,enjoyment
con đường này chắc dành cho mấy người như tôi,2,Sadness
đã bị đuổi 1 lần . đéo lgi cũng bị dí,0,anger
lựa chọn cách thức tuyển như thế nào thì tốt quá rồi,2,enjoyment
lùi về sau 3 bước đi . ngứa cả con mắt,0,disgust
tội bà vợ,5,disgust
đẳng cấp :)),2,enjoyment
"nhìn mặt ổng nhẫn nhìn kìa :)) tao chờ sen tao ra thôi , lúc đó tao tung hê hết 😑",4,enjoyment
dễ thương 😂,2,enjoyment
"đỉnh rồi , hiệu ứng tốt :))) ấn tượng vãi_chưởng luôn",2,enjoyment
ko có biển cấm dừng đỗ nhưng đỗ thò đầu ở ngã 3 kia là rất bố láo .,0,disgust
khi mày tắt điện thoại một buổi sáng và tao nhảy tưng tưng lên :),4,enjoyment
vèo cái đã 7 năm 😕,5,sadness
đm ngồi chờ đã rồi các tổng đài viên đều bận 😭😭😭,5,sadness
nó đòi mượn áo thôi mà . thằng này kỳ ...,1,anger
cả ngàn tin nhắn không đổi lại được 1 lần xem :((,5,sadness
đúng là tốt quá lai thành lạm dụng 😶,5,disgust
"t cũng thế . đang ngồi chơi với con , vợ nó đắp mặt nạ lù lù bước vào . xém đái trog quần ??????",3,disgust
cũng là 1 mạng người nên các cụ đừng phũ mồm chửi người ta . mong anh ấy sớm siêu thoát . a di đà phật !!!,4,sadness
đây gọi là nghiệp vật,2,others
có khi không biết thế nào là tự ái đâu :))),4,enjoyment
cho thơm miếng nào yêu quá cơ,2,enjoyment
liên quan gì tới mày . mời đám cưới chắc gì mày đã đi . hỏi hỏi con cặc,1,Anger
"thích cái câu "" em không yêu anh nữa ""😊😊",2,enjoyment
cho tao hỏi lúa nó dính mưa vầy ròi thì làm được gì không .,4,disgust
nghe bạn này nói dễ thương zị,2,enjoyment
"làm ca nào không quan trọng , quan trọng là có đồng bọn bảo yến nguyễn hạnh 🤣🤣🤣",2,enjoyment
đỗ ngay góc cua thế có ngày sứt mõm ??,4,disgust
phát ngán .,1,disgust
em ý cute vãi !,2,enjoyment
per về nhà mà thể hiện,1,Others
đúng . a có tầm nhìn . tâm nữa . mình biết,2,enjoyment
củ cà rốt thôi mà cái mẹt đã vây nếu là miếng thịt thì không bít mẹt ra sao nhể 😂,4,enjoyment
cái miệng nói chuyện không có người phụ nữ nào có trời ơi thật là có duyên khiếp quá đi thôi,2,disgust
tuyệt vời quá cần nhiều tấm lòng tốt hơn nua thật là ý nghĩa,2,enjoyment
đi đâu cũng gặp mấy cái thứ,0,disgust
per sao bố lại đủ bình tĩnh để xem hết cái trailer này nhỉ . _ . sợ vãi,3,fear
sao mà đỉnh dữ vậy trời,6,enjoyment
"hai thằng đó sẽ .. nhau , cô về nhà nằm mơ típ đi cô bé",1,anger
thương .. hy vọng sớm có người cưu mang bé,5,sadness
"mức thu cao nhất - đồng ý vì số liệu nó thể hiện như vậy , chứ còn hiệu quả thì mình không biết đúng không 😂 mỗi lần vô vcb là hiểu phải đợi mỏi mòn , không như những nh khác",5,enjoyment
cần lắm nhiều vụ ly hôn như thế 😂😀😀😁🤣🤣,2,enjoyment
"sời , lừa làm sao được tao :))",2,enjoyment
"có bao nhiêu đôi ngôn tình , cớ sao lìa xa mình ta :((",5,sadness
đây là một câu chuyện buồn không chỉ riêng tao,5,sadness
con gái tao thì suốt ngày hêy siri bắt chước mẹ 😂,2,enjoyment
chạy ios cho máu 😂,2,enjoyment
khâm phục !!! quá khâm phục !!!,2,enjoyment
per dạo này béo quá rùi :(,5,sadness
mau khoẻ nhé :d,2,enjoyment
"quá đơn rản , bạn thân yêu ơi ,",2,sadness
tao học nhân sự đây còn đang lo thất nghiệp đây này,3,sadness
cắt cả thắt lưng da của bố để làm ná 😂😂,2,enjoyment
per hẹn xem phim này nữa nha mày 😛,2,enjoyment
per vẫn là con mẻ . nay hàng họ to quá ;)))),6,disgust
"đỡ mua 5k tiền sổ rồi , kaka",2,enjoyment
tinh trùng đâu lắm thế,6,disgust
"per giỏi phết đấy mỗi tội nghịch thôi , được cái làm từ thiện nhiều .",2,enjoyment
ngọt sớt :))),2,enjoyment
tuổi thơ mình lớp 4 đã cảm nắng 1 anh chàng từ 1 viên phấn vôi .,2,enjoyment
nhìn cái bản mặt bà ta mà ghét thay . tham vô độ . dân mình nhiều nhà dăn ba tỉ còn khó ....,1,disgust
câu hỏi thú vị 😃😃😃,2,enjoyment
"cô ấy rất tốt , nhưng tôi biết thứ nào tốt đều không dành cho mình",5,Sadness
đm xem mãi quay lưng đi chửa được bước lại dừng :)),1,disgust
không gì hơn ngoài tình thân,4,enjoyment
"lạ lùng nhỉ , cưỡng hôn trong thang máy thì phạt có 200k coi thường phụ nữ , bây giờ phạt 10 triệu vì đàn lợn chết (???)",1,disgust
thật ra nhiều lúc bị bố mẹ chửi không hiểu vì lí do gì và những câu chửi ấy có những từ không chấp nhận nổi,1,sadness
"cay mắt lắm , mà nhìn nó lại nhớ nhiều kỉ niệm",5,sadness
per giảm tốc ở bình dương tuổi gì với cái này .,4,Others
per cười tức bụng nà vợ 😄,2,enjoyment
"wtf , tao đã làm gì sai ☹️☹️☹️",5,sadness
tao không sợ đi làm mệt mỏi tao chỉ sợ không có niềm vui với nó,3,sadness
lúc nó điên lên nó chã triệu hồi cả nhà mày ra ấy chứ nhổn,4,anger
còn không đụng vào được tóc của sai mà tự xưng vô địch,1,disgust
mất niềm tin vào đàn ông chứ chưa từng mất niềm tin vào tình yêu ;,4,sadness
"bọn có tí quan hệ hay thích khoe , ngay chị gì quận phó quận x còn gọi cả công an , chủ tịch phường ra để dằn mặt dân ??",0,anger
"uống hết bia rồi mới về ,😂😂😂",2,enjoyment
anh thứ 2 cute thế =))),2,enjoyment
hơi lạ nhỉ phải nhắn lại cho khách chứ grab thế này bị hủy chuyến làm sao,4,fear
chú nghĩ cháu rất giỏi văn và là người có suy nghĩ trưởng thành rồi 💐 rất đáng yêu và tếu giống mấy con giặc nhà chú ❤️,2,Others
đám người lớn văn hóa lùn đẻ ra một đám trẻ vô học . bọn mất dạy này là nhà dột từ nóc ấy mà . nên đuổi học cho lũ ngu học ấy về để nhà tiếp nối sự vô học của gia đình chúng nó,0,disgust
chủ tịch giả làm ăn xin và cái kết . đừng bao giờ coi thường người nghèo,1,sadness
có ai chỉ tự yêu bản thân như tôi không :(,5,sadness
không khoe thì không sao . khoe ra mai lại còn cái gốc ... haha 😁,2,enjoyment
nhiệt tình + ngu dốt là phải trả giá bằng tiền mặt 😂😂,2,enjoyment
valentine là lễ tình yêu không phải ngày động dục . hãy vì một valentine lành mạnh đi các bạn trẻ 🙃🙃,1,enjoyment
thấy anh đấy làm tùm lum mà con nhện vẫn đứng im là tao biết có chiêu rồi . định gạt anh ak,2,disgust
có tí rượu vào nhìn đâu cũng thấy mồi nhìn gì cũng ăn được,4,enjoyment
chết luôn .. tình yêu không phân biệt . giới tính .. tình yêu ơi là tình yêu .. tao đau khổ vì mày lắm rồi ...,5,sadness
tôi cùng hoàn cảnh với bạn má tôi củng bệnh và từng ngày từng ngày tôi bên má tôi sợ giây phút má bỏ tôi ra đi và ngày đó củng đến ai còn mẹ hảy quí từng giây từng khắc bên mẹ,5,Sadness
"có mà bữa chạy ngược chiều trên qlo 1a tại có hẻm nhỏ để quẹo tắt , chưa kịp quẹo bị 6 anh csgt + 1 xe bắt xe tấp vô chặn đầu xe , hoảng hồn cmnl .",3,fear
ếch chết tại miệng,4,disgust
"gần 2 năm đến sớm nhất để mở cửa lớp , lúc về cũng là người là sau cùng để khóa cửa . đến giờ ra trường được 3 năm vẫn không muốn vứt chìa khóa của lớp ...",5,sadness
tốt nhất là cần công khai minh bạch là tốt hơn,4,Others
chắc mình là thánh nguy hiểm,2,others
mong bé sớm được mua lại,5,Sadness
nhiều tiền để làm gì ..... đạo đức xã hội thế này thì đi học đâm chém chứ học chữ làm gì nữa 😢,1,sadness
má đớp chanh hùi hụi thế kia mà mặt không nhăn à,6,disgust
thanh niên trả thù đời bằng cách này hả ?,6,disgust
bán hàng onl riết bán luôn não rồi 😂😂,1,enjoyment
per nhớ cái bếp huyền thoại của 2 đứa mình he,2,enjoyment
nam chính đẹp . nữ chính hơi già . nếu nữ chính là 1 diển viên dể thương thì xem hay hơn nhiều,1,disgust
chuyển cảnh nhanh quá làm tao theo không kịp luôn á,6,Others
thật ý nghĩa và hạnh phục cho 2 người họ . nhưng đâu đó trong tao vẫn thấy cái gì đó nó tởm lợn vê lờ 🤔🤔🤔,1,disgust
cu ̃ người it xa ̀ mày lă ́ mày ..,1,disgust
ai cũng kiếm ăn thui ... hy vong qua video nay mọi ngươi sống có ý thức hơn ... đưng xem đồng tiền của minh to quá,1,others
"chửi vậy cũng bình thường mà mọi người cứ làm quá . mẹ tao cũng suốt ngày chửi tao , tao thấy vui mà .",2,enjoyment
"t đề nghị tụi mày trả cái đĩa bay cho con bé đi nghe , tới ca mà vào điều tra thì tụi mày mệt :))",4,anger
thế nên thổ lộ trực tiếp vẫn hơn là tin nhắn .,4,Others
từ lúc có vợ nhiều váy mặc để quay video hẳn :)))))),2,enjoyment
người việt nam mãi mãi cũng chỉ là bọn hạ cấp so với nước ngoài vì ý thức như lol có 100 năm sau thì ý thức vẫn đel bằng,1,disgust
ừ nhìn rợn thật =]]]],1,disgust
"đuma tao đang ở đấy nè , vừa đi vừa ôm túi sợ cướp :((",3,fear
phát hiện mới !!!,6,surprise
"ai cũng chỉ muốn cho con tất cả nhưng vì được không có mà thôi , có con thì mới biết lòng cha mẹ",5,Sadness
moẹ ! nghe cái tên đã hấp con mẹ nó dẫn lắm rồi đây này ! đjln ??????,2,disgust
per không bao giờ quên được hihi,2,enjoyment
nói câu trước đá câu sau vẫn là sai bét đúng không cả nhà,1,Others
ngu người,1,disgust
nói xong còn chả dám ăn nữa 😂😂,3,enjoyment
cứu tao :(( tao sợ rắn,3,fear
t thấy tội nghiệp thằng cải,2,sadness
anh yêu đứa bướng lắm vì mỗi lần em bướng là anh treo em lên sàn nhà đập mát tay,4,disgust
chỉ mới hỏi về người khác giới cái là bị gán là thích bạn đó luôn mí sợ :(,5,fear
tối mà tắt đèn gặp mặt nó với cặp mắt nó là tao còn sợ hơn thấy ma,3,fear
công nhận chữ đẹp . 🤧,2,enjoyment
áo phông dễ thương quá anh ơiiii,2,enjoyment
còn nhiều người có cuộc sống khốn khổ hơn ta :),5,sadness
mèo nhà em thì cho tiền cũng không ra khỏi cửa,4,Others
đào đúng chó cậy chủ =))),1,enjoyment
:v crush có người yêu rồi,5,sadness
cái con đồ chơi đó mua ở đâu nhỉ . cười đéo nhặt được mồm . 😂😂😂,2,enjoyment
nghĩ lại ngày xưa cũng như 2 đứa nhỏ ??,4,nostalgia/other
hôm nay quên vào đọc bình luận trước !! tính xem con nhện nước bạn khác nhện nước mình như thế nào ! ai ngờ đâu khác xa quá !! d mày mày adm ơi làm hết hồn !!,0,Anger
má cười ỉa luônn,2,disgust
1 năm lật tàu trật đường ray của vận tải đường sắt việt nam !,4,surprise
"mày làm tao nhớ em gái ghê , mai sinh nhật con bé rồi mà tao đang đi làm xa nhà , không về được .......... 😑",5,sadness
cái câu liếm củi chỏ sao sai được nhỉ,4,disgust
chỉ cần nghĩ tới cảnh đó là máu kinh sôi trào như núi lửa 😂😂😂,0,enjoyment
tư ̀ hô ̀ i ba ̣ n â ́ y chuyê ̉ n trươ ̀ người thi ̀ chă ̉ người co ̀ n ai đô ́ i xư ̉ tô ́ tao vơ ́ i tao như vâ ̣ y nư ̃ anh . :(,5,Sadness
đợi chúng nó đang ăn lấy xe cứu hỏa phun nước ôi tao hình dung ra cảnh đó thật tuyệt,2,enjoyment
đã check in thành công và mãi vẫn chưa gặp được người ấy là ai :((,5,sadness
đôi khi thích nói chuyện chỉ vì nói chuyện hợp và vì thích nói chuyện chứ thật ra chả phải yêu đương hay thích kiểu trai gái gì,4,enjoyment
"mình thấy sợ mấy con rắn quá trời , mà cái gì mình sợ là mình hay muốn tiêu diệt -))",3,fear
hút ít thôi và hãy chích nhiều hơn 😐,1,others
"em cũng như con chó thôi , nếu anh đủ kiên nhẫn thì mọi chuyện đã khác rồi 😪",5,sadness
per khi trong người khó ở thì nên vào đây . động lực để nôn,1,others
ê tao đi nhật chưa được 1 năm mà xem video này làm tao loạn ngôn ngữ ghê . thỉnh thoảng phải dừng video ngẫm câu nó nói nghĩa gì,3,fear
"về thôi , nghỉ ngơi rồi nở rộ tiếp",4,enjoyment
ông mặt trời dễ thương hha,2,enjoyment
vậy nên cứ lờ đi mà sống tiếp,4,sadness
vậy vài bửa trời nắng mình không mang quần nằm dưới nắng cho nó nở ra :)),4,enjoyment
những cử chỉ đẹp làm từ thiện cho người nghèo hay thiếu đến lấy thừa đi đến cho,2,enjoyment
ý tưởng hay 😂,2,enjoyment
cả thế giới thấy hay trừ tao,4,sadness
toàn mấy con lợn ký gửi với xách tay thì đợi đấy mà xếp hạng :)),1,disgust
nhanh vãi mới thấy xong,4,enjoyment
sợ quá đi,3,fear
tao đây chứ còn ai,4,Others
bằng củi thì tao nấu suốt cho tới tận bây giờ còn bằng rơm thì chưa từng :v,4,enjoyment
thấy dòng này quen quen . thấy đọc bình luận của ai á . haha . buồn cười 🤣 🤣 🤣,2,enjoyment
tuy chưa viết hết nhưng tao người khác sẽ hiểu là viết cái gì,2,Others
làm ở đâu cũng vậy cũng có đầy rẫy những khó khăn nhưng trọng hơn là làm cùng những đồng nghiệp như thế nào,4,others
không nha cậu :) mình đi bình thường nha =)),2,enjoyment
bác không ở lại làm tô phở đã 🙃🙃🙃,4,enjoyment
per tao thấy mấy ảnh thật đẹp trai,2,enjoyment
do mày ngu đéo ghi chỗ khác :)),1,Anger
"phàm việc quan trọng trong thiên hạ , cứ về hỏi vợ , vợ nói sao cứ làm ngược lại chắc chắc sẽ đúng !",2,enjoyment
à ra là ngứa mắt vì người ta đỗ ô tô mà không phải trả tiền . khi nào người ta mất tiền mới hài lòng .,1,disgust
cái toilet hay nhỉ vào đấy được thoải mái nhìn nhau mà trò chuyện trong lúc ị ... :),6,enjoyment
dễ thương ha,2,enjoyment
chia buồn cùng khổ chủ,5,sadness
cao su đó khai thắc làm sao có mủ,4,disgust
sao mà có nhiều người ngu quá . đậu xe xát đường ray xe lửa . còn mấy thg bình luận cũng ngu theo xe lửa chạy theo đường ray mà kêu nó bẻ lái qua chúc xíu . bẻ đi đâu được mà bẻ,1,anger
cháu xl ông trước . cháu cũng không có í gì chê bai đâu ạ . nhưng cháu nhìn móng dài bẩn quá . đang ăn mà cháu cũng run run .,1,disgust
giờ cứ thành lập các tổ an ninh . bắt được bao nhiêu . chiên free cho các tiệm bia hết là bao tuyệt chủng 😂😂,2,disgust
cay và đắng nghe mấy ông lớn tuổi toàn kêu thế thôi,2,disgust
"làm video thì ăn bớt chắp chắp như heo lại , đang coi nghe ăn phát mất con mẹ nó hứng , vô duyên",1,disgust
cha mẹ tao còn cãi lộn nhau vì không biết ngày sinh tháng sinh của tao là dương hay âm 😢😢,5,sadness
người ta đã phải bỏ tiền . bỏ sức ra mới có bữa cơm từ thiện nv mà còn có những người vô ý thức như vậy,1,disgust
oaaaaaaa ...... thực sự rất tạo động lực và niềm tin cho người khác đó < 3 rất thích nụ cười và sự thoải mái tự tin của anh chị < 3,2,enjoyment
nhớ đến lại buồn . chuyện tình chúng ta chẳng đi được đến đâu cả,5,sadness
xuất sắc quá,6,enjoyment
nhà tao vẫn nấu . à mà lâu lâu tao về nấu một lần thì không cháy cũng nát,5,enjoyment
thiết kế đẹp quá,6,enjoyment
per không nhận dạng được mặt bả luôn,6,disgust
18t đủ trách nhiệm pháp lý rồi 😏,4,enjoyment
vô học !😡😡😡. tý tuổi tưởng vậy là hay !,1,anger
ai thử rồi cho xin tấm hình cái coi nào,4,enjoyment
"bố mẹ thì còng lưng nuôi ăn học vất vả không mua được thì thôi , bất hạnh cái gì , bất hạnh cái gì",0,sadness
"đúg là dân miền tây , chưa nói đã chửi tục rồi . vậy mà cũg đăg lên được . ở gần phòng mấy người này , đầu mình không yên được .",1,disgust
nó thả thính xong nó chạy mất ..,5,sadness
bị nó chặn đầu mấy lần khóc sướt mướt luôn . mấy con yêu nghiệt này còn dữ hơn chó,3,Sadness
lò xo chắc giờ không còn nữa rồi,5,sadness
chơi cái trò mất dạy :)),0,enjoyment
trong luâ ̣ tao co ́ khung hi ̀ nh pha ̣ tao bă ́ n không . ghê tơ ̉ mày con qua ́ i na ̀ y qua ́,1,Anger
tao chỉ lên ngắm cảnh tí xíu mà mày cũng dìm tao :)))),5,Anger
tim vỡ nát,5,sadness
có biết giận là gì đâu 😌🙂,4,others
lương này là tính luôn quá trình tham nhũng ăn bớt ăn xén rồi đó ! tụi mày chưa đủ trình đó thì lấy tư cách gì nói người ta nói xạo ?,1,anger
per không lấy được vợ thì có thể đi tâp gym đêt lấy chồng 😁😁,2,enjoyment
đéo thể tin tưởng một ai được,4,disgust
thái độ lồi lõm có ngày răng rụng đầy đường đấy =)),1,disgust
thử đụng vô tao coi dume mấy thằng lol cặn bã,0,anger
chắc anh phải đáng yêu lắm luôn ý nhể 🤗🤗,2,enjoyment
muốn bảo vệ và chăm sóc người đấy,2,Others
hết sức nguy hiểm và có phần dại dột !,1,fear
"ôi thôi , cưng quá :v",2,enjoyment
nghe kể mà thèm ạ :'(,5,sadness
"per vãi xem phải cỡ này . , đoạn nó nhếch môi bố mày sợ suýt đái ra quần dume 😑",3,disgust
tao . đôi lúc nghĩ lại thì tao vẫn thấy sợ tao lúc tức giận .,3,fear
nó mà là đặc vụ thật thì lại ngớ người 😂,4,enjoyment
các chàng trai của tôi về đến nhà chưa ??,4,Others
liệu có còn tồn tại cô gái nào chấp nhận một thằng vừa nghèo vừa xấu đặc biệt lại còn yếu sinh lý như tôi không,5,"self-deprecation, insecurity"
per quan tâm per như là 1 đứa em gái thôi . đừng có mà ảo tưởng nha .,4,disgust
vì ghét nhau thôi,1,disgust
một con ngựa hoang đúng nghĩa ..... đầy tài năng nhưng đang tiếc là không gặp được hlv và những đồng đội hỉu mình,2,sadness
hời ơi ... cưng xĩu,2,enjoyment
t chỉ chờ đết lúc nó lôi ra xem được cục to như ngón tay không,4,disgust
nuôi kiểu đéo gì lại để nó như thế này ??? thằg chủ có tâm hồn thối rữa à ??,0,disgust
hút cần xong đúng là đời toàn màu hồng em nhỉ . nói chậm vãi :)))),1,enjoyment
cục cuối khủng bố vãi vậy :(,6,disgust
per xem xong hình như tao mới bị thêm bệnh tiểu đường,5,Others
"mất dạy từ nhỏ , đẹp mặt khi bố mẹ nó đang ngồi xem tivi , cứ tưởng hay",1,disgust
wow sản phẩm tốt ngoài mong đợi luôn á,6,enjoyment
không cướp ở đâu đi cướp ngân hàng của nhà nước 🤣🤣🤣🤣,2,enjoyment
