text,label,prediction
cung cấp bài tập đa dạng .,0,curriculum
hay gõ micro vào bảng hoặc bàn .,0,facility
ổn .,3,others
"tốc độ dạy của giảng viên nhanh , nên có một số nội dung không cung cấp đầy đủ kiến thức .",0,lecturer
"cô vui tính , học không áp lực .",1,lecturer
cô dạy rất tốt và nhiệt tình .,0,lecturer
phần lớn chỉ là lý thuyết và bài tập .,1,curriculum
thầy nhiệt tình trả lời thắc mắc của sinh viên .,0,lecturer
thiết bị phòng học như quạt máy cần phải đầu tư thêm .,2,facility
"cô nhiệt tình , giảng bài hiệu quả .",1,lecturer
"khi nghỉ học , cần thông báo kịp thời trên web của khoa wzjwz148 .",0,curriculum
không biết được chính xác bao giờ học thật để đi học .,1,curriculum
thầy chỉ giao bài tập trên courses .,0,curriculum
"dạy dễ hiểu , vui tính .",0,lecturer
như vậy tụi em sẽ định hướng tốt hơn và tập trung vào những thứ cần thiết .,1,others
"sử dụng thời gian không hiệu quả , đi quá muộn và về quá trễ ( 8h30 vào lớp 12h về ) .",0,lecturer
"ấn tượng nhất doubledot dạy không cần máy chiếu hay laptop , nhưng lượng bài giảng có thể nói là "" khủng "" , nhìn thầy ghi bài giảng lên bảng mà bất ngờ .",0,lecturer
"giảng viên dạy rất nhiệt tình , dễ hiểu , vui tính .",0,lecturer
đưa nhiều bài tập khó mà có lời giải cho sinh viên về nhà nghiên cứu .,0,curriculum
"thầy dạy chi tiết , giảng giải kỹ .",0,lecturer
nhiệt tình tốt giúp sinh viên năng động .,0,lecturer
giảng viên cho bài tập nhiều đầy đủ .,0,lecturer
up các bài giảng đầy đủ .,0,curriculum
"thầy hiền , giảng bài tương đối dễ hiểu .",0,lecturer
rất thực tế không dài dòng .,3,curriculum
"cô dạy hay , em không có ý kiến .",0,lecturer
nhiều câu chuyện hài hước và thực tế có liên quan đến bài học .,0,lecturer
"tận tâm , sẵn lòng giúp đỡ sinh viên giải đáp thắc mắc .",0,lecturer
"thêm hoạt động của sinh viên , giúp sinh viên chủ động hơn .",1,curriculum
"sự nhiệt tình của thầy , thầy rất quan tâm đến sinh viên .",0,lecturer
tính thực tế cũng cao so với việc thi lý thuyết lấy điểm .,1,curriculum
"dạy tâm huyết , hướng dẫn rõ ràng , em rất hài lòng về thầy x .",0,lecturer
"giảng viên đảm bảo thời gian trên lớp , tạo điều kiện trong quá trình thực hành và thi thực hành .",0,lecturer
thầy dạy rất nhiệt tình và phương pháp dạy của thầy rất hay làm em có muốn cũng không dám nghỉ bữa nào trong suốt học kỳ .,0,lecturer
"thầy dạy dễ hiểu , tận tâm , nhiệt tình .",0,lecturer
"thầy wzjwz322 vui tính , hài hước , thực tế , cụ thể trong việc hướng dẫn sinh viên làm đồ án .",0,lecturer
giảng viên cần ân cần giảng lại khi sinh viên có những khúc mắc trong lúc thực hành .,0,lecturer
thời lượng kiến thức trong một buổi học quá dài .,1,curriculum
"slide thầy chiếu lên màn chiếu doubledot dày đặc chữ , nhìn không rõ ràng .",1,curriculum
"nghỉ nhiều quá , học bù thì khiến giờ giấc không ổn định .",0,lecturer
giảng bài xúc tích .,0,lecturer
"cô dạy rất hay , gần gũi với tụi em .",0,lecturer
nếu thầy hướng dẫn cài đặt các thuật toán nữa là tuyệt vời luôn .,0,lecturer
có up bài cho sinh viên làm thêm bài tập .,0,lecturer
nhiệt tình giúp đỡ giải đáp những thắc mắc của sinh viên .,0,lecturer
em không thích như vậy tí xíu nào .,0,others
"thầy dạy đường lối mà em cứ ngỡ như em đang trở về thời đó , cách kể chuyện lịch sử qua tuyệt vời , có thể nói nếu tất cả các môn chính trị nào cũng có thầy dạy thì chắc em lên trình chính trị nhiều lắm ạ .",0,lecturer
thời gian các bạn lên làm bài tập thì thầy nên giảng cho các sinh viên khác chưa làm được .,1,lecturer
nội dung của môn học nên được cải tiến và cập nhật hơn nữa để bắt kịp với xu hướng hiện nay của thế giới .,1,curriculum
thầy cho bài tập ít quá .,0,lecturer
không slide .,0,curriculum
"năng động , cập nhật kiến thức thêm những kiến thức thực tế và bổ ích .",0,curriculum
cách dạy đổi mới .,0,curriculum
"đôi khi ít nói , chưa hướng dẫn kỹ bài thực hành .",0,lecturer
thầy nên giảng chậm hơn va cho slide bài giảng .,0,lecturer
"hiện nay đang bước vào đợt nắng nóng , nhưng trong môt số phòng học thì doubledot quạt rất yếu gây ra nóng nực , mệt mỏi cho sinh viên và giảng viên .",2,facility
học thì quá ít nhưng khi thi thì quá nhiều yêu cầu viết code trong đề thi thì sao mà sinh viên có thể làm được .,3,curriculum
"giảng viên nhiệt tình chia sẻ những kiến thức thực tế , các kỹ năng xã hội cần thiết , hữu ích .",0,lecturer
"nhiều bài tập , sát với chương trình học và thi .",1,curriculum
"máy chiếu nhiều lúc chẳng muốn để nhìn , chất lượng kém , ánh sáng làm mờ .",2,facility
không thật sự dạy .,0,lecturer
bài giảng hay và dễ hiểu .,1,curriculum
thầy truyền đạt tốt .,0,lecturer
đồ án phần bắt buộc chỉ chiếm 1dot5 điểm và chỉ biết sau khi đã nộp .,0,curriculum
nội dung môn học không đáp ứng được mục tiêu của môn học .,1,curriculum
"ngoài những kiến thức trên lớp , thầy còn hướng dẫn và giảng dạy nhiều kiến thức mới , hỗ trợ tụi em rất nhiều trong quá trình hoàn thành đồ án .",0,lecturer
giảng viên dạy rất là nhiệt tình .,0,lecturer
quá nhiệt tình .,0,lecturer
thầy lý thuyết wzjwz223 cũng thường xuyên đi trễ .,0,lecturer
nên cho sinh viên slide để học .,0,curriculum
cách giảng của thầy đa số trong lớp không ai hiểu dù thấy có giảng lại .,0,lecturer
kiến thức chuyên môn sâu .,0,curriculum
thầy dạy rất hay và kỹ .,0,lecturer
thầy dạy hay dễ hiểu cho làm nhiều bài tập mở rộng để hiểu bài .,0,lecturer
"những kiến thức thầy cung cấp rất đa dạng và cần thiết , cảm ơn thầy rất nhiều .",0,lecturer
không cần phải mở lớp thực hành với môn học này .,1,facility
sự nhiệt tình tận tâm .,3,lecturer
thêm nhiều bài tập thiết thực hơn .,1,curriculum
rất tận tình .,0,lecturer
phương pháp học áp dụng thực tiễn .,0,curriculum
"nhiệt tình , hăng hái .",0,lecturer
"giảng viên nhiệt tình , giảng dạy hiệu quả bằng tiếng anh .",0,lecturer
"ví dụ phù hợp với nội dung kiến thức , hướng dẫn chi tiết .",1,lecturer
bài thuyết trình của các sinh viên .,1,lecturer
cần có nhiều giảng viên như cô dạy hơn .,0,lecturer
ít cho bài tập .,0,curriculum
có nhiều thầy cô đến lớp không đúng giờ .,2,lecturer
đôi lúc sinh viên theo không kịp .,3,others
nhiệt tình giảng bài .,0,lecturer
đúng giờ và tận tình trong giảng dạy .,0,lecturer
"thầy giảng nhiệt tình , truyền đạt nhiều kinh nghiệm học tập cho sinh viên .",0,lecturer
cần thay đổi hệ thống máy tính ở một số phòng thực hành vì đã quá cũ .,2,facility
cô dạy còn hơi khó hiểu .,0,lecturer
chúng em rất khó nắm kiến thức khi chỉ nghe các buổi seminar .,0,curriculum
đề cương thực hành chi tiết .,1,curriculum
"thầy có khả năng truyền đạt tốt , vui tính .",0,lecturer
chất lượng kiểm tra các môn học chưa đánh giá được chất lượng học sinh hiểu bài cho lắm .,1,curriculum
chứ không chỉ cách viết một đoạn code mới học từ lý thuyết .,1,lecturer
"em nghĩ chỉ cần thi là đủ , chứ em đi học mấy lần , mà thấy thầy có dạy gì đâu .",1,curriculum
"chia nhỏ điểm ra , mỗi buổi 1 bài lab , nộp bài lab để lấy điểm .",1,curriculum
em rất hài lòng về phương pháp giảng dạy này .,0,lecturer
giảng viên sử dụng thời gian lên lớp không hiệu quả .,0,lecturer
giảng viên nên đến lớp đầy đủ .,0,lecturer
thầy khá tận tình .,0,lecturer
nên nâng cao cơ sở vật chất của trường .,2,facility
thầy rất dễ tính .,0,lecturer
"nhiệt tình , dễ nghe , dễ hiểu .",0,lecturer
"thầy dạy bài hay , dễ hiểu và nhiệt tình .",0,lecturer
"ít có thời gian thực hành bằng thiết bị thật , mong nhà trường tạo điều kiện để sinh viên được thực hành nhiều hơn .",2,facility
thầy rất vui và dạy rất kỹ .,0,lecturer
"cách mà thầy hướng cho sinh viên tiếp cận kiến thức , tính chuyên nghiệp trong việc đưa ra những ví dụ thực tiễn phản ánh tốt kiến thức lý thuyết , hướng dẫn cho sinh viên cách tiếp cận với tài liệu tiếng anh .",0,lecturer
chương trình giảng dạy cần được phân bố hợp lý và được cập nhật .,1,curriculum
gần gũi với sinh viên .,0,lecturer
đề cập nhiều thông tin mở rộng ngoài xã hội .,0,lecturer
rất hài lòng nên không có gì không hài lòng .,3,others
cách giảng dạy của thầy rất vui .,0,lecturer
phòng học còn khá ồn do công trình xây dựng .,2,facility
gíao viên hầu như chỉ dạy qua loa cho có .,0,lecturer
"gây mê , hay mắng và rất dễ hờn coloncontemn .",0,lecturer
"thầy hay cho những ví dụ , trường hợp rất thực tế .",0,lecturer
thầy dạy rất thuyết phục và dễ hiểu .,0,lecturer
"giảng viên nên cân đối thời gian giảng dạy , không để trễ bài .",0,lecturer
cô dạy hay nhiệt huyết tiết học vui nhộn dễ hiểu .,0,lecturer
giáo viên thực hành .,0,curriculum
"giảng viên rất nhiệt tình , giảng bài dễ hiểu .",0,lecturer
hoặc cô có thể cung cấp trực tiếp slide tiếng anh để sinh viên học .,0,lecturer
"có ba buổi học , chỉ những người tham gia buổi đầu mới biết các buổi tiếp theo .",1,curriculum
bài tập thầy giảng rất hay .,1,curriculum
"giảng viên giảng dạy tốt , nhiệt tình .",0,lecturer
hơi khô khan trong việc giảng dạy .,0,curriculum
các buổi ngoại khóa nên được mở .,3,curriculum
"do trình độ tiếng anh của lớp không cao chỉ một số ít có khả năng nghe , đọc , và hiểu được bài giảng của thấy nên hiệu quả của việc giảng dạy bằng tiếng anh là chưa cao .",0,curriculum
sử dụng quá nhiều tiếng anh để giảng bài trong khi sinh viên ngồi dưới chẳng hiểu là bao nhiêu .,1,lecturer
"nên tạo thêm cảm hứng khi học như doubledot học qua bài hát , hình ảnh .",1,curriculum
"giảng viên giảng dạy nhiệt tình , lên lớp đúng giờ .",0,lecturer
"thầy vui vẻ , tận tình .",0,lecturer
tóm lại doubledot cô là giảng viên tệ nhất được học từ năm nhất đến bây giờ .,0,lecturer
"nhiệt tình , yêu cô nhiều nhiều colonsmile .",0,lecturer
cô dạy lý thuyết rất dễ hiểu .,0,lecturer
tâm lý .,3,others
em nghĩ nên dạy thực hành và nộp bài tập thực hành cách lịch học lý thuyết thêm một tuần nữa so với học kỳ này .,1,curriculum
"giảng viên cho bài tập sát với nội dung , giảng giải dễ hiểu .",0,lecturer
nội dung thi liên quan quá ít đến khoảng thời gian học trong lớp .,1,curriculum
chấm điểm hơi khó .,0,lecturer
sửa bài chữ nhỏ quá .,0,lecturer
giáo viên nhiệt tình nhưng dạy khó hiểu quá .,0,lecturer
"giáo viên nghỉ không thông báo nhiều lần , ảnh hưởng tới thời gian và công sức của sinh viên .",0,lecturer
bài tập phong phú và đa dạng giúp sinh viên có thể nắm được kiến thức .,1,curriculum
thầy thường xuyên trả lời trễ không trả lời mail của sinh viên .,0,lecturer
cần bài tập có lời giải .,1,curriculum
cô dạy rất hay và vui .,0,lecturer
không đáp ứng đủ số buổi học .,0,curriculum
theo em môn này nên chuyển sang hình thức đồ án cuối kỳ thay vì thi cuối kỳ thì sẽ hợp lý và hiệu quả hơn .,1,curriculum
giáo viên cần nhiệt tình hơn trong giảng dạy và giờ nên lớp .,0,lecturer
"giảng không tận tình , chỉ ngồi một chỗ và nói và đọc slide .",0,lecturer
"giáo viên rất nhiệt tình trong quá trình giảng dạy , sử dụng thời gian rất hợp lý , diễn đạt hay nêu ví dụ .",0,lecturer
nên cụ thể hóa trong ví dụ .,1,curriculum
cách sửa bài tập còn sơ sài .,0,lecturer
"chưa học kiểm thử , bắt làm test thì sao mà làm ?",0,curriculum
nên có các bài tập bắt buộc doubledot cá nhân doubledot nắm sát được tiến độ và khả năng của từng sinh viên nhóm doubledot đánh giá và hình thành kỹ năng làm việc nhóm đôi khi do không bắt buộc các bài tập nhóm và các bài tập thuyết trình mà các bạn sinh viên thụ động !,1,curriculum
tại sao trong quá trình học không có một buổi tham quan một công ty đang làm về oracal hiệu quả sẽ cao hơn .,1,facility
thực hành đi trước lý thuyết nên gây ra một số khó khăn cho sinh viên .,1,curriculum
"tận tâm , hay .",0,lecturer
"dạy nhiệt tình , nói tiếng anh chuẩn .",0,lecturer
giảng bài hơi khó hiểu với lại quá nhanh .,0,lecturer
giảng viên nhiệt tình dạy dễ hiểu .,0,lecturer
nhưng đi thực hành mà giảng viên hoàn toàn không giảng dạy hay tiếp xúc gì với sinh viên cả thì không giống gì cái lớp học cho lắm .,0,lecturer
cô cực kỳ dễ thương luôn .,0,lecturer
"em cực kỳ thích thầy wzjwz240 , thầy tận tâm , thương học sinh , thầy  là số một .",0,lecturer
nên chọn thầy dạy thực hành phù hợp hơn và có thể truyền đạt kiến thức tốt hơn .,0,lecturer
đề thi quá dài .,1,curriculum
"cô dạy rất nhiệt tình , đầy đủ các phương pháp .",0,curriculum
nghiêm khắc hơn đối với sinh viên .,0,curriculum
"hoạt động về bài giảng trên lớp , bỗ trợ lại một phần kiến thức về mặt lý thuyết rất hữu ích cho sinh viên , cách giảng dạy rất ok .",0,lecturer
nâng cao chất lượng giảng viên và trang thiết bị hỗ trợ .,0,facility
cô hoàng toàn không dùng courses hay các phương tiện liên lạc thông báo .,0,lecturer
cách cô giảng rất nhiệt tình .,0,others
"đề nghị bỏ phần thì lý thuyết vào cuối kỳ , chỉ lấy 2 cột điểm seminar giữa kỳ và đồ án cuối kỳ .",1,curriculum
thầy cho nghỉ hơi nhiều tiết .,0,lecturer
thầy cô cần cho thêm bài tập tài liệu về nhà cho sinh viên rèn luyện cùng với đó là cho thêm nhiều bài nghe bổ ích tăng khả năng nghe nói tiếng anh của sinh viên .,0,curriculum
"vui vẻ , nhiệt huyết .",0,lecturer
"thiết nghĩ giảng viên đứng lớp lý thuyết phải có kỹ năng sư phạm nhất định khả năng truyền đạt , cách hướng dẫn sinh viên , tuy nhiên tại lớp này giảng viên không làm được điều đó .",0,lecturer
"bài tập rất hay và thiết thực , cho sinh viên nhiều lựa chọn .",1,curriculum
"hay nghỉ nhiều buổi , đôi khi lại không có thông báo trước .",0,lecturer
nên tăng thời lượng môn học vì chương trình học còn khá nặng đối với sinh viên học lần đầu .,1,curriculum
thầy vui tính và nhiệt tình giảng dạy .,0,lecturer
"chỉ có thầy wzjwz320 dạy , em cảm thấy học và thi không ăn nhập gì với nhau .",0,lecturer
"cô rất nhiệt tình , hướng dẫn những chỗ khó hiểu và cho bài tập phù hợp với kiến thức đã học .",0,lecturer
cho nhiều ví dụ và chỉ rõ hơn .,0,curriculum
"tận tâm , nghiêm khắc .",0,lecturer
nó thật sự ảnh hưởng quá nhiều đến chất lượng học môn này của em .,0,others
nhiệt tình trong công tác giảng dạy .,0,lecturer
nếu có hướng dẫn cũng là lý thuyết suông khó áp dụng .,1,lecturer
kêu thầy hướng dẫn mà không chịu chỉ .,0,lecturer
"thầy rất tận tình , nhiệt tình chỉ lại những gì sinh viên còn vướng mắc , truyền đạt kiến thức rất hiệu quả , rất ok !",0,lecturer
kinh mong nhà trường làm rõ việc này và đảm bảo công bằng cho sinh viên !,1,others
thời gian học .,1,curriculum
nhiệt tình và thân thiện .,0,lecturer
cô giáo rất nhiệt tình !,0,lecturer
em mong là có phần khảo sát môn học ở giữa kỳ chứ cuối kỳ thì môn học đã qua đi rồi .,3,curriculum
giảng viên giàu kinh nghiệm sư phạm .,0,lecturer
giúp đỡ học sinh các bài khó .,0,curriculum
"cần tăng những kỹ năng nghe , nói , đọc , viết , tạo môi trường để giao tiếp anh văn hiệu quả .",1,curriculum
"thực hành hình thức 2 tỏ ra kém hiệu quả , chủ yếu cho cái đồ án môn học rồi sinh viên tự mày mò mà làm , thời gian để sinh viên và giáo viên tương tác không có vì một hai buổi gặp sinh viên không thể giúp sinh viên được nhiều , vì đồ án chỉ tập trung vào một chủ đề nào đó trong môn học nên tổng quan lại là sinh viên chỉ nắm được kiến thức phần được làm , không nắm được các nội dung khác trong nội dung học .",1,curriculum
tiến độ dạy hơi nhanh .,1,curriculum
môn này em không đươc học với cô wzjwz160 .,3,lecturer
cách diễn đạt đôi lúc còn khó hiểu .,1,lecturer
"em nghĩ nếu môn học dạy kiến thức nền tảng áp dụng lập trình trên nhiều nền tảng khác nhau , không đơn thuần chỉ là j2e thì tốt quá !",1,curriculum
"hay giải theo cách của mình , chưa giải thích được nhiều thắc mắc của sinh viên .",0,lecturer
"thiếu nhiệt tình với sinh viên , phần lớn lên lớp đưa đề cho sinh viên tự làm và không có gợi ý cũng như tạo điều kiện tốt nhất cho sinh viên .",0,lecturer
đề nghị tăng tiết học cho môn này .,1,curriculum
giảng còn dài .,0,lecturer
cần cho thêm nhiều bài tập kết hợp hướng dẫn để sinh viên tham khảo .,0,lecturer
giảng viên liên tục bỏ buổi dạy mà không có lý do .,0,lecturer
"cô dạy rất nhiệt tình , được làm bài tập ở lớp nhiều , cô sửa và chỉ dẫn tận tình , tạo không khí học tập thoải mái .",0,lecturer
bài tập thực hành sát với lý thuyết .,1,curriculum
"giảng viên giảng bài khó nghe , ít tương tác .",0,lecturer
"không có , giáo viên dạy rất ổn !",0,lecturer
"thầy quan tâm , hỗ trợ nhiều .",0,lecturer
nên hướng dẫn cách thực hiện .,0,lecturer
nội dung môn học hay và bổ ích cho công việc sau này .,1,curriculum
phải làm bảng đánh giá kỹ lưỡng về việc học nhóm ngoài giờ học làm tụi em cảm thấy không thoải mái khi học nhóm .,0,facility
mong cô luôn giữ được phong độ đó .,0,lecturer
"giảng bài sinh động , có nhiều cuộc thảo luận trên lớp .",0,curriculum
"thầy có quá trình quản lý công việc , lịch trình rõ ràng , phù hợp với sinh viên .",0,lecturer
"không riêng gì em mà tất cả các bạn trong lớp cũng đều mong trường sẽ nhanh chóng trang bị hệ thống máy mới cho môn này ít nhất là ram 4 gb , cpu 2 lõi tốc độ 3dot0 ghz .",2,facility
"thầy khá nhẹ nhàng , lịch sự , đáp ứng đủ giờ dạy , nhiệt tình bài giảng .",0,lecturer
còn ít đưa ví dụ và code trực tiếp để có thể hiểu tại lớp .,0,lecturer
thầy dạy rất hay !,0,lecturer
máy chiếu mờ .,2,facility
cảm ơn thầy giúp cho em hiểu rõ hơn về công việc của một tester .,0,lecturer
"thầy dạy dễ hiểu , cho bài tập nhiều .",0,lecturer
""" các bạn có hiểu ý thầy wzjwz287 không ạ "" ( đáp lại thầy là sự im lặng ) .",0,others
"tôi không đồng ý với cách giảng dạy của giáo viên , một bài mà giảng lúc tiếng anh , lúc tiếng việt khoe khả năng của mình và tôi nhận thấy kiến thức trong bài giảng đó tôi không thể nắm bắt được trên 50% .",0,lecturer
không công bằng trong việc điểm danh .,1,curriculum
"cô dạy hay , nhiệt tình .",0,lecturer
tận tình giúp đở sinh viên .,0,lecturer
không nên để thầy này tiếp tục dạy mạng máy tính nữa .,0,curriculum
"cô rất nhiệt tình , vui vẻ .",0,lecturer
"thầy giảng bài , ví dụ rất dễ tiếp thu .",0,lecturer
"kiến thức dồi dào , thường xuyên cập nhật thông tin cho sinh viên .",0,lecturer
giáo viên giảng dạy tận tình .,0,lecturer
thầy chỉ dạy làm sao để thi chứ không dạy cách học môn lý thuyết mạch điện .,0,lecturer
"dạy miên man , ép buộc sinh viên .",0,lecturer
môn wzjwz19 khá xa lạ đối với em .,1,curriculum
"thầy dạy nhiệt tình , dễ hiểu , vote cho thầy năm sao .",0,lecturer
nên cải thiện thiết bị để giáo viên truyền đạt được dễ ràng hơn .,2,facility
"giọng thầy nói khó nghe , giảng buồn ngủ .",0,lecturer
"giảng viên nhiệt tình giảng dạy lý thuyết và cho làm bài tập trên lớp , thường xuyên trao đổi và có những thông báo nhắc nhở cho sinh viên trên courses .",0,lecturer
cô dạy rất kỹ và rất quan tâm đến sự truyền đạt của mình đến sinh viên .,0,lecturer
giảng viên là người nhiều kinh nghiệm .,0,lecturer
tiếng anh tốt .,0,others
sinh viên hiểu thầy mới cho về .,0,lecturer
kỹ những chương cuối .,3,curriculum
kéo dài thời gian của buổi học 30 - 45 phút nhưng không làm buổi học thêm hiệu quả .,0,lecturer
chuẩn bị bài học kỹ càng .,0,curriculum
"phòng máy , thết bị cũ .",2,facility
tận tình giúp đỡ sinh viên .,0,lecturer
"nhiệt tình , vui tính , tâm lý .",0,lecturer
đặt nhiều câu hỏi trong lúc dạy .,0,lecturer
cô giải bài tập rất kỹ lưỡng .,0,lecturer
có giờ tiếp sinh viên .,0,facility
"thầy không chỉ dạy cho sinh viên về mặt kiến thức , kèm vào đó thầy còn dạy cho sinh viên về đạo đức , tính nhân bản , những kinh nghiệm của thầy khi đi làm .",0,lecturer
môn học quá trừu tượng nên cần phải có ví dụ và mô hình cụ thể cho từng phần .,1,curriculum
"giảng viên không nên cho các nhóm tổ chức seminar để tìm hiểu vấn đề mới liên tục hàng tuần , làm vậy nảy sinh nhiều vấn đề doubledot thứ nhất là kiến thức sinh viên thu thập đa phần đều giống nhau , lấy từ một nguồn và làm qua loa đối phó .",0,curriculum
"môn anh văn trường xếp lịch dạy 4 tiết , như vậy khi học xong sẽ ra muộn khoảng 6h30 mới về đến nhà ở nội thành , vì vậy những môn học 4 tiết như anh văn nên xếp học buổi sáng .",1,curriculum
"tất cả đều mới mẻ nhưng phải làm trong một thời gian ngắn vào cuối kỳ , trong khi đó sinh viên còn phải học rất nhiều thứ khác .",1,curriculum
"cần thêm các đội ngũ giảng viên trình độ pgs , gs trở lên , một số là ts nếu có kinh nghiệm nhiều trong nghiên cứu vì đây là môn nghiên cứu khoa học .",1,lecturer
"thầy dạy tận tâm , luôn giải đáp thắc mắc cho học trò .",0,lecturer
thái độ làm việc tốt .,0,others
"giảng viên tận tình , giảng dạy chi tiết , dễ tiếp thu .",0,lecturer
giảng viên giảng bài rất hay .,0,lecturer
thầy cho học cực kỳ ít buổi và cũng không bù .,0,curriculum
dạy quá nhanh và đôi chút hơi khó hiểu .,0,lecturer
"thầy dạy rất nhiệt tình , cập nhật thường xuyên những công nghệ mới trong giảng dạy .",0,lecturer
"giáo viên vui vẻ , giảng dạy nhiệt tình .",0,lecturer
"phòng giảng đường quá nóng , bảng ở xa nên không nhìn thấy chữ ở trên bảng .",2,facility
cần đổi máy chiếu .,2,facility
giáo viên không cho đồ án môn học .,0,curriculum
phòng máy nên được quan tâm vì nhiều máy hỏng làm nhiều bạn không có laptop khó thực hành .,2,facility
"tận tâm , truyền đạt dễ hiểu .",0,lecturer
tốc độ giảng bài hơi nhanh .,0,lecturer
ít demo .,0,curriculum
giảng nhiều kiến thức hay .,0,lecturer
giảng viên truyền đạt bài rất dễ tiếp thu .,0,lecturer
"có hướng dẫn thêm kiến thức bên ngoài , các phương pháp lập trình hiệu quả .",0,lecturer
"cô dạy rất nhiệt tình , cô luôn mở rộng kiến thức cho sinh viên .",0,lecturer
"thầy vui tính , giảng hay , nhiệt tình , kiến thức sâu rộng trong các lĩnh vực .",0,lecturer
cô nên gửi tài liệu ( của cô ) trước lên moodle để các em có thể theo dõi kịp các chương học cần nhiều buổi học .,0,lecturer
cô vui tính colonsmilesmile .,0,lecturer
thầy luôn đảm bảo giờ dạy .,0,lecturer
nói nhanh .,0,lecturer
"thân thiện , có kinh nghiệm .",0,lecturer
không nhiệt tình giảng bài .,0,lecturer
làm các bài tập và mạch điện đơn giản như thế sẽ hứng thú hơn !,1,curriculum
"nếu thầy có nghỉ không dạy nên thông báo trực tiếp cho lớp trưởng , lớp em toàn nhà xa mà lên trường thì phải ngồi đợi cả buổi không thấy thầy vào lớp lúc đó mới biết là được nghỉ .",0,lecturer
"cho bọn em tự nghiên cứu các phần và tự lên thuyết trình về bài giảng đó , điều đó thật sự rất bổ ích cho bọn em .",0,curriculum
rất gần gũi và tận tâm .,0,lecturer
lên lớp không dạy luôn .,0,lecturer
"thầy dạy dễ hiểu , giảng bài khá kỹ .",0,lecturer
hình thức này quá máy móc .,1,curriculum
với lượng kiến thức nhiều nên gây sự khó hiểu không tiếp thu kịp .,1,curriculum
cách giảng viên khuyên bảo thẳng thắn .,0,lecturer
mong các thầy cô sẽ đầu tư nhiều hơn vào phần speaking và writing .,0,lecturer
"phòng thực hành nên trang bị máy mới , thật sự khó chịu khi đang thực hành mà máy treo , máy hư .",2,facility
"giảng viên tận tâm , nhiệt tình , đảm bảo giờ lên lớp hiệu quả .",0,lecturer
cần cải thiện chất lượng các trang bị trong phòng học vì hay có trường hợp nhiễu tín hiệu âm thanh giữa các phòng .,2,facility
"môn học thực sự cần những kỹ sư , những người làm việc thực tế chia sẻ như những buổi thảo luận , góp ý .",1,others
thầy dạy dễ hiểu tuy nhiên nhiều lúc hơi nhanh .,0,lecturer
"giảng viên để ý rất ít tới sinh viên , khi sinh viên có thắc mắc thì chỉ trả lời cho qua .",0,lecturer
